ident,palavra,video_file,image_file,hand_file,status,message
7315,CALMA1,calma1Sm_Prog001.mp4,calma1Sm_Prog001.jpg,cg64.jpg,ERRO,video_download_falhou
4829,ABATIDO,abatidoSm_Prog001.mp4,abatidoSm_Prog001.jpg,cg53a.jpg,OK,imagem=ERRO | mao=OK
327,ABORRECIDO,aborrecidoSm_Prog001.mp4,aborrecidoSm_Prog001.jpg,cg46a.jpg,OK,imagem=ERRO | mao=OK
4464,AFEIÇÃO,afeicaoSm_Prog001.mp4,afeicaoSm_Prog001.jpg,cg53a.jpg,OK,imagem=ERRO | mao=OK
61,AFETO,afetoSm_Prog001.mp4,afetoSm_Prog001.jpg,cg52.jpg,OK,imagem=ERRO | mao=OK
6559,AFINIDADE,afinidadeSm_Prog001.mp4,afinidadeSm_Prog001.jpg,cg14.jpg,OK,imagem=ERRO | mao=OK
4174,ALEGRIA1,alegria1Sm_Prog001.mp4,alegria1Sm_Prog001.jpg,cg64.jpg,OK,imagem=ERRO | mao=OK
6562,ALEGRIA2,alegria2Sm_Prog001.mp4,alegria2Sm_Prog001.jpg,cg63.jpg,OK,imagem=ERRO | mao=OK
6738,ALÍVIO,alivioSm_Prog001.mp4,alivioSm_Prog001.jpg,cg63.jpg,OK,imagem=ERRO | mao=OK
5198,AMBIÇÃO,ambicaoSm_Prog001.mp4,ambicaoSm_Prog001.jpg,cg18a.jpg,OK,imagem=ERRO | mao=OK
6973,AMIGÁVEL,amigavelSm_Prog001.mp4,amigavelSm_Prog001.jpg,cg63.jpg,OK,imagem=ERRO | mao=OK
428,AMIZADE,amizadeSm_Prog001.mp4,amizadeSm_Prog001.jpg,cg63.jpg,OK,imagem=ERRO | mao=OK
9,AMOR,amor1Sm_Prog001.mp4,amor1Sm_Prog001.jpg,cg51a.jpg,OK,imagem=ERRO | mao=OK
6926,ÂNIMO,animoSm_Prog001.mp4,animoSm_Prog001.jpg,cg64.jpg,OK,imagem=ERRO | mao=OK
434,ANSIEDADE,ansiedadeSm_Prog001.mp4,ansiedadeSm_Prog001.jpg,cg02.jpg,OK,imagem=ERRO | mao=OK
7291,APAVORADO,apavoradoSm_Prog001.mp4,apavoradoSm_Prog001.jpg,cg64.jpg,OK,imagem=ERRO | mao=OK
5223,ATRAÇÃO,atracaoSm_Prog001.mp4,atracaoSm_Prog001.jpg,cg37a.jpg,OK,imagem=ERRO | mao=OK
555,AVAREZA,avarezaSm_Prog001.mp4,avarezaSm_Prog001.jpg,cg03.jpg,OK,imagem=ERRO | mao=OK
5173,AVERSÃO,aversaoSm_Prog001.mp4,aversaoSm_Prog001.jpg,cg64.jpg,OK,imagem=ERRO | mao=OK
7315,CALMA1,calma1Sm_Prog001.mp4,calma1Sm_Prog001.jpg,cg64.jpg,ERRO,video_download_falhou
7316,CALMA2,calma2Sm_Prog001.mp4,calma2Sm_Prog001.jpg,cg64.jpg,OK,imagem=ERRO | mao=OK
1315,CARINHO,carinhoSm_Prog001.mp4,carinhoSm_Prog001.jpg,cg52.jpg,OK,imagem=ERRO | mao=OK
1484,CIÚME,ciumeSm_Prog001.mp4,ciumeSm_Prog001.jpg,cg63.jpg,OK,imagem=ERRO | mao=OK
6020,COMPAIXÃO,compaixaoSm_Prog001.mp4,compaixaoSm_Prog001.jpg,cg35a.jpg,OK,imagem=ERRO | mao=OK
1602,CONFIANÇA,confiancaSm_Prog001.mp4,confiancaSm_Prog001.jpg,cg63.jpg,OK,imagem=ERRO | mao=OK
4139,CONFORTO,confortoSm_Prog001.mp4,confortoSm_Prog001.jpg,cg57.jpg,OK,imagem=ERRO | mao=OK
1665,CORAGEM,coragemSm_Prog001.mp4,coragemSm_Prog001.jpg,cg57.jpg,OK,imagem=ERRO | mao=OK
1725,CRENÇA,crencaSm_Prog001.mp4,crencaSm_Prog001.jpg,cg63.jpg,OK,imagem=ERRO | mao=OK
6436,CULPA,culpaSm_Prog001.mp4,culpaSm_Prog001.jpg,cg11.jpg,OK,imagem=ERRO | mao=OK
1764,CURIOSIDADE,curiosidadeSm_Prog001.mp4,curiosidadeSm_Prog001.jpg,cg63.jpg,OK,imagem=ERRO | mao=OK
2329,DEPRESSÃO,depressaoSm_Prog001.mp4,depressaoSm_Prog001.jpg,cg02.jpg,OK,imagem=ERRO | mao=OK
2384,DESGOSTO,desgostoSm_Prog001.mp4,desgostoSm_Prog001.jpg,cg02.jpg,OK,imagem=ERRO | mao=OK
2490,DOR,dorSm_Prog001.mp4,dorSm_Prog001.jpg,cg54.jpg,OK,imagem=ERRO | mao=OK
7010,DÚVIDA,duvidaSm_Prog001.mp4,duvidaSm_Prog001.jpg,cg14.jpg,OK,imagem=ERRO | mao=OK
2726,EMOÇÃO,emocaoSm_Prog001.mp4,emocaoSm_Prog001.jpg,cg02.jpg,OK,imagem=ERRO | mao=OK
5179,ESPERANÇA,esperancaSm_Prog001.mp4,esperancaSm_Prog001.jpg,cg01.jpg,OK,imagem=ERRO | mao=OK
2972,FÉ1,feSm_Prog001.mp4,feSm_Prog001.jpg,cg06.jpg,ERRO,video_download_falhou
7385,FÉ2,fe2Sm_Prog001.mp4,fe2Sm_Prog001.jpg,cg63.jpg,OK,imagem=ERRO | mao=OK
6871,FELICIDADE,felicidadeSm_Prog001.mp4,felicidadeSm_Prog001.jpg,cg64.jpg,OK,imagem=ERRO | mao=OK
3063,FORÇA,forcaSm_Prog001.mp4,forcaSm_Prog001.jpg,cg02.jpg,OK,imagem=ERRO | mao=OK
4126,INSTINTO,instintoSm_Prog001.mp4,instintoSm_Prog001.jpg,cg46a.jpg,OK,imagem=ERRO | mao=OK
860,INTERESSE,interesseSm_Prog001.mp4,interesseSm_Prog001.jpg,cg18a.jpg,OK,imagem=ERRO | mao=OK
5566,INTREPIDEZ,intrepidezSm_Prog001.mp4,intrepidezSm_Prog001.jpg,cg57.jpg,OK,imagem=ERRO | mao=OK
873,INVEJA,invejaSm_Prog001.mp4,invejaSm_Prog001.jpg,cg15.jpg,OK,imagem=ERRO | mao=OK
3526,LEMBRANÇA,lembrancaSm_Prog001.mp4,lembrancaSm_Prog001.jpg,cg32.jpg,OK,imagem=ERRO | mao=OK
3133,MÁGOA,magoaSm_Prog001.mp4,magoaSm_Prog001.jpg,cg02.jpg,OK,imagem=ERRO | mao=OK
3234,MEDO,medoSm_Prog001.mp4,medoSm_Prog001.jpg,cg33.jpg,OK,imagem=ERRO | mao=OK
7449,MISERICÓDIA,misericordiaSm_Prog001.mp4,misericordiaSm_Prog001.jpg,cg35a.jpg,OK,imagem=ERRO | mao=OK
698,NOJO,nojoSm_Prog001.mp4,nojoSm_Prog001.jpg,cg47.jpg,OK,imagem=ERRO | mao=OK
5584,ÓDIO,odio2Sm_Prog001.mp4,odio2Sm_Prog001.jpg,cg42.jpg,ERRO,video_download_falhou
2118,ORGULHO1,orgulhoSm_Prog001.mp4,orgulhoSm_Prog001.jpg,cg40.jpg,OK,imagem=ERRO | mao=OK
5776,ORGULHO2,orgulho2Sm_Prog001.mp4,orgulho2Sm_Prog001.jpg,cg40.jpg,OK,imagem=ERRO | mao=OK
1778,PACIÊNCIA,pacienciaSm_Prog001.mp4,pacienciaSm_Prog001.jpg,cg24.jpg,OK,imagem=ERRO | mao=OK
